text,label
temperature 41.1°c!,1
various hyperthermia alert! else.,1
spo2 reading shows 87 percent!,1
minute hyperthermia alert! enjoy.,1
heart rate 174 and dizzy!,1
interesting intruder alert! choose.,1
care hyperthermia alert! important.,1
recent i'm injured! heavy.,1
outside heart rate dropping! cultural.,1
class medication missed! knowledge.,1
my oxygen is at 77 and dropping!,1
heart rate 150 and dizzy!,1
heart rate 122 and dizzy!,1
country i need assistance! policy.,1
meeting medication missed! prevent.,1
my oxygen is at 85 and dropping!,1
can't breathe properly with this oxygen mask!,1
sing can't breathe properly! suddenly.,1
nature o2 sensor alarm! hear.,1
movement severe shivering! full.,1
no fainting feeling! particular.,1
model respiratory distress! agent.,1
offer vision blurring! thing.,1
enter sudden dizziness! ok.,1
serve heart attack! action.,1
can't breathe properly with this oxygen mask!,1
my oxygen is at 84 and dropping!,1
can't breathe properly with this oxygen mask!,1
letter i'm injured! focus.,1
open vision blurring! program.,1
temperature 39.2°c!,1
program vision blurring! quickly.,1
spo2 reading shows 79 percent!,1
it dehydration symptoms! admit.,1
school low blood oxygen! never.,1
suddenly unresponsive! entire.,1
question panic attack! process.,1
form accident here! democrat.,1
blood pressure 80 over 51!,1
left panic attack! continue.,1
temperature 40.7°c!,1
floor falling pulse ox! maybe.,1
born bp crashing! ready.,1
movie intruder alert! off.,1
team can't breathe properly! area.,1
hair chest pain! mention.,1
statement dehydration symptoms! billion.,1
face panic attack! like.,1
record hyperthermia alert! already.,1
move someone help! wish.,1
reach fainting feeling! both.,1
ahead hyperthermia alert! start.,1
rather fainting feeling! one.,1
answer heart rate dropping! under.,1
quality heart rate dropping! law.,1
debate falling pulse ox! rise.,1
can't breathe properly with this oxygen mask!,1
ok spo2 below 90! herself.,1
blood pressure 86 over 40!,1
common i'm injured! all.,1
yard can't breathe! hand.,1
administration vision blurring! bad.,1
enjoy heart rate dropping! condition.,1
base fainting feeling! police.,1
that i'm injured! information.,1
long emergency! move.,1
most medication missed! summer.,1
they someone help! race.,1
heart rate 159 and dizzy!,1
interview oxygen level low! option.,1
miss can't breathe! significant.,1
spo2 reading shows 86 percent!,1
professional oxygen tube disconnected! raise.,1
least cold and clammy! sometimes.,1
society temperature critical! show.,1
see accident here! environmental.,1
spo2 reading shows 88 percent!,1
south call 911! understand.,1
my oxygen is at 85 and dropping!,1
administration intruder alert! foreign.,1
my oxygen is at 80 and dropping!,1
wall heart attack! we.,1
win call 911! consider.,1
temperature 41.1°c!,1
vote hyperthermia alert! want.,1
unit i need assistance! between.,1
blood pressure 87 over 53!,1
my oxygen is at 85 and dropping!,1
military o2 sensor alarm! carry.,1
spo2 reading shows 88 percent!,1
road fever spiking! all.,1
thank bp crashing! land.,1
my oxygen is at 74 and dropping!,1
them temperature critical! whom.,1
long heart rate dropping! represent.,1
spo2 reading shows 87 percent!,1
strong i'm injured! follow.,1
bill vision blurring! so.,1
enter fever spiking! interview.,1
late bleeding badly! participant.,1
spo2 reading shows 88 percent!,1
election fire! boy.,1
my oxygen is at 85 and dropping!,1
fact low blood oxygen! sometimes.,1
heart rate 120 and dizzy!,1
certainly hyperthermia alert! approach.,1
cut severe shivering! computer.,1
temperature 41.2°c!,1
market intruder alert! some.,1
bit chest pain! term.,1
spo2 reading shows 86 percent!,1
statement bleeding badly! one.,1
can't breathe properly with this oxygen mask!,1
charge oxygen tube disconnected! stock.,1
son help! big.,1
apply can't breathe! well.,1
often bleeding badly! whole.,1
discussion spo2 below 90! quickly.,1
in heart rate dropping! itself.,1
heart rate 155 and dizzy!,1
recently coughing blood! including.,1
can't breathe properly with this oxygen mask!,1
spo2 reading shows 81 percent!,1
choose chest pain! money.,1
can't breathe properly with this oxygen mask!,1
nothing respiratory distress! end.,1
wonder heart rate dropping! perhaps.,1
will intruder alert! memory.,1
me temperature critical! course.,1
my oxygen is at 72 and dropping!,1
blood pressure 84 over 44!,1
amount dehydration symptoms! president.,1
doctor someone help! own.,1
table hypothermia warning! true.,1
first medication missed! skin.,1
minute temperature critical! when.,1
similar i'm injured! meeting.,1
appear falling pulse ox! decision.,1
my oxygen is at 76 and dropping!,1
save temperature critical! force.,1
evidence fainting feeling! well.,1
blood pressure 72 over 40!,1
perform severe shivering! final.,1
return coughing blood! ground.,1
never bp crashing! tough.,1
line fainting feeling! per.,1
spo2 reading shows 77 percent!,1
toward vision blurring! guess.,1
thank chest pain! nation.,1
their temperature critical! adult.,1
can't breathe properly with this oxygen mask!,1
usually bp crashing! material.,1
various coughing blood! again.,1
blue fire! how.,1
heart rate 164 and dizzy!,1
exactly o2 sensor alarm! specific.,1
decision falling pulse ox! girl.,1
can't breathe properly with this oxygen mask!,1
my oxygen is at 87 and dropping!,1
since chest pain! reason.,1
can't breathe properly with this oxygen mask!,1
central medication missed! professor.,1
really heart attack! soon.,1
temperature 39.2°c!,1
after bp crashing! country.,1
billion respiratory distress! right.,1
little someone help! mind.,1
performance temperature critical! whole.,1
protect unresponsive! heavy.,1
heart rate 179 and dizzy!,1
real coughing blood! factor.,1
large call 911! natural.,1
heart rate 130 and dizzy!,1
discuss help! least.,1
despite i'm injured! simple.,1
along i need assistance! seat.,1
temperature 39.8°c!,1
none oxygen level low! attention.,1
by severe shivering! reason.,1
deep i need assistance! see.,1
leader help! have.,1
situation can't breathe properly! name.,1
could bleeding badly! drive.,1
my oxygen is at 86 and dropping!,1
my oxygen is at 89 and dropping!,1
election severe shivering! might.,1
temperature 40.0°c!,1
seat can't breathe! road.,1
instead fire! ahead.,1
full call 911! movement.,1
production sudden dizziness! usually.,1
consider accident here! rest.,1
can't breathe properly with this oxygen mask!,1
whose heart attack! affect.,1
main respiratory distress! sport.,1
my oxygen is at 88 and dropping!,1
good oxygen level low! likely.,1
job unresponsive! tree.,1
note someone help! adult.,1
can't breathe properly with this oxygen mask!,1
spo2 reading shows 78 percent!,1
pull oxygen level low! service.,1
as dehydration symptoms! admit.,1
spo2 reading shows 81 percent!,1
television accident here! wonder.,1
surface can't breathe! key.,1
avoid chest pain! science.,1
finish dehydration symptoms! give.,1
can't breathe properly with this oxygen mask!,1
apply vision blurring! management.,1
close help! table.,1
plant someone help! design.,1
station dehydration symptoms! amount.,1
your can't reach alert button! position.,1
together o2 sensor alarm! agreement.,1
chair medication missed! ago.,1
my oxygen is at 81 and dropping!,1
my oxygen is at 87 and dropping!,1
group accident here! great.,1
can't breathe properly with this oxygen mask!,1
shake emergency! economic.,1
decide can't breathe properly! artist.,1
spo2 reading shows 86 percent!,1
sit help! end.,1
temperature 39.3°c!,1
home bleeding badly! we.,1
study help! part.,1
among vision blurring! white.,1
live coughing blood! believe.,1
unit someone help! perhaps.,1
hundred call 911! between.,1
my oxygen is at 86 and dropping!,1
reality someone help! network.,1
budget sudden dizziness! least.,1
consumer oxygen level low! same.,1
today accident here! recent.,1
term can't breathe properly! data.,1
heart rate 136 and dizzy!,1
my oxygen is at 82 and dropping!,1
chair fire! when.,1
eye bp crashing! high.,1
my oxygen is at 75 and dropping!,1
court medication missed! thousand.,1
then o2 sensor alarm! necessary.,1
temperature 40.7°c!,1
capital irregular heartbeat! health.,1
heart rate 121 and dizzy!,1
night hyperthermia alert! anything.,1
low oxygen tube disconnected! your.,1
behind o2 sensor alarm! company.,1
can't breathe properly with this oxygen mask!,1
blood pressure 80 over 49!,1
bag o2 sensor alarm! everything.,1
outside bp crashing! travel.,1
heart rate 120 and dizzy!,1
degree someone help! much.,1
yes intruder alert! might.,1
along panic attack! last.,1
spo2 reading shows 78 percent!,1
temperature 41.3°c!,1
partner chest pain! upon.,1
win severe shivering! music.,1
temperature 39.7°c!,1
understand emergency! service.,1
cover low blood oxygen! agent.,1
with heart attack! reality.,1
war irregular heartbeat! crime.,1
mean can't breathe properly! evidence.,1
together heart attack! food.,1
still accident here! myself.,1
heart rate 170 and dizzy!,1
thousand spo2 below 90! blood.,1
cover cold and clammy! animal.,1
blood pressure 85 over 50!,1
spo2 reading shows 86 percent!,1
finish intruder alert! various.,1
never sudden dizziness! want.,1
temperature 39.4°c!,1
simple low blood oxygen! top.,1
spo2 reading shows 75 percent!,1
blood pressure 87 over 54!,1
can't breathe properly with this oxygen mask!,1
my oxygen is at 75 and dropping!,1
pressure cold and clammy! capital.,1
use oxygen level low! practice.,1
performance fever spiking! town.,1
action emergency! piece.,1
forget fever spiking! firm.,1
lot fainting feeling! member.,1
almost intruder alert! message.,1
media can't breathe properly! there.,1
only bleeding badly! can.,1
language falling pulse ox! threat.,1
author hyperthermia alert! be.,1
my oxygen is at 82 and dropping!,1
can't breathe properly with this oxygen mask!,1
way temperature critical! poor.,1
option low blood oxygen! must.,1
another fire! late.,1
commercial help! bring.,1
can't breathe properly with this oxygen mask!,1
environment hypothermia warning! care.,1
language vision blurring! record.,1
available hypothermia warning! them.,1
heart rate 179 and dizzy!,1
my oxygen is at 86 and dropping!,1
city fire! total.,1
course temperature critical! know.,1
heart rate 158 and dizzy!,1
century can't breathe! life.,1
can't breathe properly with this oxygen mask!,1
travel someone help! agent.,1
blood pressure 72 over 49!,1
lot dehydration symptoms! season.,1
my oxygen is at 80 and dropping!,1
exist dehydration symptoms! listen.,1
back temperature critical! group.,1
wall cold and clammy! director.,1
small intruder alert! those.,1
heart rate 137 and dizzy!,1
together oxygen tube disconnected! cause.,1
something cold and clammy! stock.,1
artist help! loss.,1
act hypothermia warning! former.,1
my oxygen is at 82 and dropping!,1
sign panic attack! rule.,1
temperature 41.1°c!,1
temperature 39.1°c!,1
spo2 reading shows 87 percent!,1
discover heart rate dropping! measure.,1
temperature 41.4°c!,1
always spo2 below 90! here.,1
all can't breathe properly! positive.,1
sea unresponsive! know.,1
heart rate 159 and dizzy!,1
help emergency! nothing.,1
well sudden dizziness! traditional.,1
individual i need assistance! morning.,1
its medication missed! usually.,1
temperature 39.8°c!,1
temperature 40.4°c!,1
spo2 reading shows 76 percent!,1
single falling pulse ox! somebody.,1
recent heart attack! while.,1
work accident here! me.,1
since hyperthermia alert! believe.,1
mind irregular heartbeat! investment.,1
important oxygen tube disconnected! hand.,1
blood pressure 70 over 51!,1
temperature 41.8°c!,1
accept oxygen tube disconnected! dinner.,1
spo2 reading shows 89 percent!,1
job sudden dizziness! daughter.,1
heart rate 126 and dizzy!,1
my oxygen is at 71 and dropping!,1
strong respiratory distress! able.,1
my oxygen is at 72 and dropping!,1
situation oxygen tube disconnected! day.,1
may respiratory distress! air.,1
understand irregular heartbeat! hour.,1
sister emergency! money.,1
can't breathe properly with this oxygen mask!,1
blood pressure 71 over 55!,1
temperature 41.3°c!,1
spo2 reading shows 83 percent!,1
minute can't breathe! might.,1
trip can't breathe properly! big.,1
can't breathe properly with this oxygen mask!,1
respond heart rate dropping! many.,1
crime o2 sensor alarm! door.,1
spo2 reading shows 77 percent!,1
military heart attack! natural.,1
morning falling pulse ox! tough.,1
temperature 41.1°c!,1
especially oxygen level low! but.,1
management spo2 below 90! wear.,1
temperature 39.7°c!,1
skill vision blurring! side.,1
cup chest pain! bank.,1
clear someone help! whole.,1
writer i need assistance! oil.,1
community severe shivering! claim.,1
gas intruder alert! thus.,1
response low blood oxygen! research.,1
world unresponsive! clearly.,1
outside o2 sensor alarm! paper.,1
seat fainting feeling! whom.,1
can't breathe properly with this oxygen mask!,1
can't breathe properly with this oxygen mask!,1
other panic attack! stand.,1
star irregular heartbeat! say.,1
suddenly respiratory distress! natural.,1
spend intruder alert! effort.,1
worker cold and clammy! bit.,1
wonder bp crashing! main.,1
blood pressure 81 over 40!,1
spo2 reading shows 75 percent!,1
avoid oxygen tube disconnected! past.,1
box o2 sensor alarm! office.,1
these severe shivering! us.,1
cost fainting feeling! voice.,1
spo2 reading shows 86 percent!,1
my oxygen is at 78 and dropping!,1
amount fever spiking! reflect.,1
beyond irregular heartbeat! local.,1
can't breathe properly with this oxygen mask!,1
available panic attack! federal.,1
blood pressure 70 over 52!,1
service cold and clammy! every.,1
can't breathe properly with this oxygen mask!,1
know sudden dizziness! yes.,1
memory intruder alert! size.,1
blood pressure 72 over 45!,1
behavior o2 sensor alarm! now.,1
temperature 41.3°c!,1
nothing bleeding badly! project.,1
college coughing blood! figure.,1
spo2 reading shows 86 percent!,1
year chest pain! capital.,1
though can't breathe! mean.,1
only help! address.,1
drug help! recognize.,1
much chest pain! guess.,1
ago i'm injured! over.,1
this irregular heartbeat! listen.,1
oil severe shivering! how.,1
temperature 39.4°c!,1
race medication missed! now.,1
three fever spiking! minute.,1
spo2 reading shows 87 percent!,1
get chest pain! paper.,1
score unresponsive! we.,1
can't breathe properly with this oxygen mask!,1
temperature 41.2°c!,1
blood pressure 82 over 43!,1
figure bleeding badly! boy.,1
song oxygen level low! agree.,1
term vision blurring! body.,1
surface cold and clammy! behavior.,1
can't breathe properly with this oxygen mask!,1
can't breathe properly with this oxygen mask!,1
officer help! become.,1
sometimes panic attack! food.,1
common fire! data.,1
can't breathe properly with this oxygen mask!,1
idea cold and clammy! room.,1
spo2 reading shows 88 percent!,1
picture emergency! yourself.,1
poor intruder alert! deep.,1
sell can't breathe properly! organization.,1
discuss cold and clammy! able.,1
part respiratory distress! size.,1
military oxygen tube disconnected! after.,1
all i'm injured! capital.,1
heart rate 136 and dizzy!,1
position i'm injured! life.,1
concern o2 sensor alarm! account.,1
my oxygen is at 78 and dropping!,1
modern oxygen level low! perform.,1
than heart attack! less.,1
stay unresponsive! other.,1
institution i need assistance! rich.,1
can't breathe properly with this oxygen mask!,1
degree intruder alert! yard.,1
heart rate 126 and dizzy!,1
parent emergency! while.,1
fight cold and clammy! sign.,1
among vision blurring! he.,1
show severe shivering! dream.,1
spo2 reading shows 84 percent!,1
discover o2 sensor alarm! they.,1
along oxygen tube disconnected! fish.,1
look can't breathe! company.,1
foot heart rate dropping! share.,1
first can't breathe! particularly.,1
tough spo2 below 90! theory.,1
poor accident here! remember.,1
use severe shivering! girl.,1
finally hypothermia warning! to.,1
spo2 reading shows 80 percent!,1
talk bp crashing! need.,1
picture dehydration symptoms! power.,1
increase i'm injured! leg.,1
temperature 39.6°c!,1
military spo2 below 90! buy.,1
can't breathe properly with this oxygen mask!,1
bring dehydration symptoms! stock.,1
heart rate 176 and dizzy!,1
minute respiratory distress! land.,1
heart rate 143 and dizzy!,1
great respiratory distress! both.,1
forward emergency! head.,1
temperature 41.5°c!,1
room i need assistance! set.,1
blood pressure 78 over 50!,1
can't breathe properly with this oxygen mask!,1
story can't breathe properly! other.,1
attention severe shivering! church.,1
my oxygen is at 79 and dropping!,1
temperature 39.0°c!,1
many someone help! wrong.,1
design emergency! sea.,1
evidence oxygen tube disconnected! job.,1
force vision blurring! fire.,1
response medication missed! stand.,1
ago irregular heartbeat! so.,1
temperature 40.0°c!,1
full irregular heartbeat! easy.,1
safe someone help! describe.,1
my oxygen is at 75 and dropping!,1
candidate hyperthermia alert! business.,1
spo2 reading shows 78 percent!,1
white temperature critical! art.,1
student i'm injured! network.,1
blood pressure 70 over 46!,1
anything o2 sensor alarm! until.,1
spo2 reading shows 79 percent!,1
blood pressure 70 over 47!,1
shake can't breathe properly! daughter.,1
suffer help! remember.,1
cell accident here! huge.,1
best coughing blood! serve.,1
they i need assistance! establish.,1
executive coughing blood! middle.,1
develop fever spiking! five.,1
list oxygen tube disconnected! explain.,1
can't breathe properly with this oxygen mask!,1
pattern temperature critical! though.,1
temperature 40.5°c!,1
hard cold and clammy! gun.,1
always oxygen tube disconnected! face.,1
door temperature critical! plant.,1
temperature 40.5°c!,1
right can't breathe properly! agree.,1
attention i need assistance! scientist.,1
dark medication missed! usually.,1
heart rate 147 and dizzy!,1
bit respiratory distress! blood.,1
heart rate 176 and dizzy!,1
can't breathe properly with this oxygen mask!,1
my oxygen is at 89 and dropping!,1
very oxygen tube disconnected! marriage.,1
heart rate 124 and dizzy!,1
my oxygen is at 78 and dropping!,1
spo2 reading shows 81 percent!,1
temperature 39.8°c!,1
inside severe shivering! test.,1
management vision blurring! turn.,1
trade call 911! research.,1
second coughing blood! see.,1
can't breathe properly with this oxygen mask!,1
act oxygen tube disconnected! control.,1
true bleeding badly! true.,1
my oxygen is at 88 and dropping!,1
temperature 41.8°c!,1
my oxygen is at 72 and dropping!,1
can't breathe properly with this oxygen mask!,1
certain spo2 below 90! leader.,1
can't breathe properly with this oxygen mask!,1
show someone help! leader.,1
can't breathe properly with this oxygen mask!,1
can't breathe properly with this oxygen mask!,1
my oxygen is at 84 and dropping!,1
best accident here! individual.,1
suffer bleeding badly! part.,1
place dehydration symptoms! rule.,1
my oxygen is at 70 and dropping!,1
factor fire! relate.,1
kind emergency! break.,1
deep oxygen level low! agent.,1
my oxygen is at 76 and dropping!,1
detail call 911! though.,1
hospital bleeding badly! history.,1
need oxygen tube disconnected! none.,1
yeah coughing blood! purpose.,1
democratic someone help! small.,1
blood pressure 81 over 52!,1
temperature 41.2°c!,1
talk someone help! through.,1
economic bp crashing! provide.,1
several low blood oxygen! tough.,1
worry falling pulse ox! happy.,1
call hyperthermia alert! order.,1
open help! whatever.,1
per sudden dizziness! process.,1
audience vision blurring! himself.,1
heart rate 176 and dizzy!,1
blood pressure 77 over 49!,1
temperature 40.9°c!,1
heart rate 178 and dizzy!,1
half i need assistance! quite.,1
assume emergency! television.,1
speech fever spiking! sort.,1
popular i need assistance! physical.,1
behind help! money.,1
size irregular heartbeat! american.,1
can't breathe properly with this oxygen mask!,1
spo2 reading shows 75 percent!,1
material fainting feeling! family.,1
appear spo2 below 90! study.,1
heart rate 122 and dizzy!,1
fish sudden dizziness! window.,1
whether coughing blood! other.,1
end coughing blood! why.,1
those fire! anyone.,1
but can't breathe! good.,1
blood pressure 79 over 44!,1
deal cold and clammy! size.,1
my oxygen is at 79 and dropping!,1
early dehydration symptoms! prove.,1
heart rate 150 and dizzy!,1
number oxygen tube disconnected! cup.,1
walk fever spiking! whose.,1
law emergency! reflect.,1
spo2 reading shows 88 percent!,1
single call 911! prepare.,1
budget heart rate dropping! miss.,1
industry respiratory distress! hospital.,1
future cold and clammy! watch.,1
heart rate 165 and dizzy!,1
surface bp crashing! billion.,1
culture temperature critical! shoulder.,1
my oxygen is at 78 and dropping!,1
question irregular heartbeat! yeah.,1
peace respiratory distress! phone.,1
really i'm injured! increase.,1
finally heart rate dropping! price.,1
study severe shivering! available.,1
mean i'm injured! theory.,1
my oxygen is at 73 and dropping!,1
spo2 reading shows 84 percent!,1
mention oxygen level low! only.,1
stage can't breathe! fine.,1
shake i need assistance! source.,1
can't breathe properly with this oxygen mask!,1
everything chest pain! break.,1
day can't reach alert button! cell.,1
enough fever spiking! bank.,1
blood pressure 71 over 43!,1
value vision blurring! raise.,1
temperature 39.1°c!,1
method heart attack! board.,1
south unresponsive! beat.,1
